GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "08000","Colorado",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8438834,9540190,10759666,12176083,13923113,15609172,17249727,18981259,21174240,24413528,27979283,32050837,36882856,40505905,43694220,47644633,50483632,52445729,54400004,57556607,62010063,65667206,69601893,75599104,81812058,87983829,95648804,103235761,111207820,123101187,133020517,147924904,154999829,155404058,158210940,164106026,175273002,189475642,201875472,208738019,198800165,205372353,223153197,237141451,249281641,271307483,284819564,290669555,312045458,335195823,352184749
 "08000","Colorado",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736
 "08000","Colorado",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9820,11019,12386,13230,13944,15030,15733,16200,16685,17643,18930,19853,20549,21625,22639,23625,24995,26336,27675,29903,31477,34187,35023,34608,34935,35870,37841,40140,42024,42689,39982,40689,43575,45669,47311,50711,52254,52475,55604,58896,61157
 "08001","Adams, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",648153,709437,803531,908854,1023302,1125453,1236329,1359933,1532395,1807996,2075271,2388262,2687137,2941564,3161300,3428466,3617257,3730964,3798194,3928630,4133785,4354140,4607325,5025860,5445249,5855712,6316981,6758615,7429404,8169493,8949407,9951213,10489020,10374407,10685054,10986843,11432526,12096069,12825153,13495715,13426095,13645366,14647606,15620755,16360525,17666105,18858350,19693041,20808816,22266329,23532735
 "08001","Adams, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",182656,187062,193787,203924,211825,214692,218820,224439,227864,239598,245966,247145,251341,258855,262155,264814,266973,267687,268485,266684,263401,266629,274311,284362,293995,302197,313439,323218,332462,343094,354146,366958,376443,370753,377464,384809,395146,406575,415746,424913,435700,443691,452201,460558,469978,479946,490443,497734,503590,511354,517421
 "08001","Adams, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3548,3793,4146,4457,4831,5242,5650,6059,6725,7546,8437,9663,10691,11364,12059,12947,13549,13938,14147,14731,15694,16330,16796,17674,18522,19377,20154,20910,22347,23811,25270,27118,27864,27982,28307,28551,28932,29751,30849,31761,30815,30754,32392,33917,34811,36809,38452,39565,41321,43544,45481
 "08003","Alamosa, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29164,31926,35343,38097,42034,49379,58120,64623,68397,77398,83659,100434,108051,111493,127404,131179,138746,156087,154450,162329,182007,197695,194350,202945,230421,242818,257748,280486,284120,314467,319832,337007,346029,373900,356817,374931,391477,396603,419801,442964,448195,451726,483014,488882,504262,527728,562497,561869,580723,620071,650547
 "08003","Alamosa, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10701,11502,11832,12239,11580,11515,12252,12073,11598,11557,11618,11870,12131,12344,12469,12846,12834,13146,13332,13712,13752,13602,13926,13790,13816,14071,14372,14367,14634,14730,14881,14954,14956,15114,15067,15217,15236,15196,15180,15300,15289,15515,15709,15680,15787,15803,15894,16053,16108,16248,16233
 "08003","Alamosa, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2725,2776,2987,3113,3630,4288,4744,5353,5897,6697,7201,8461,8907,9032,10218,10212,10811,11873,11585,11838,13235,14534,13956,14717,16678,17257,17934,19523,19415,21349,21493,22536,23136,24739,23682,24639,25694,26099,27655,28952,29315,29115,30748,31179,31942,33394,35391,35001,36052,38163,40076
 "08005","Arapahoe, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",759223,848588,994133,1163657,1374384,1573300,1803835,2052499,2352715,2807993,3329809,3959838,4661369,5250773,5739543,6370747,6925136,7266846,7633434,8118937,8911767,9602751,10106511,10854507,11655804,12628128,13498090,14677116,15447846,17135065,18682179,21050642,20939278,20958191,21318937,21161662,21918060,23899970,25161220,24088329,22394970,23553416,27412896,28887845,30221603,32941719,34360320,35274663,36810160,40350053,42334967
 "08005","Arapahoe, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",157055,163696,171308,184665,199083,208362,219967,230470,242501,261177,278330,297301,312603,330653,344923,357164,369021,377636,382074,382304,384980,393895,406279,420063,431731,440965,446821,454208,462681,472544,482262,491482,502393,508936,513690,518971,524466,531619,542039,552461,563161,574747,585968,596500,608467,619034,630984,638950,644478,651797,656590
 "08005","Arapahoe, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4834,5184,5803,6301,6904,7551,8200,8906,9702,10751,11964,13319,14911,15880,16640,17837,18766,19243,19979,21237,23149,24379,24876,25840,26998,28637,30209,32314,33388,36261,38739,42831,41679,41180,41502,40776,41791,44957,46420,43602,39767,40980,46782,48429,49668,53215,54455,55207,57116,61906,64477
