GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3861604,4280227,4715749,5076234,5475156,5940540,6441509,6896452,7473637,8178547,9010736,10074627,11169055,12199942,13127572,14497720,15512228,16675650,17728819,19201877,21131268,22256325,22968170,24390688,25155585,25981838,26894687,27780372,29169330,30619977,32074591,34429188,35852558,36235237,37596516,39409658,40626322,42809877,44651081,47198415,47688240,49587600,51345488,53096227,54103874,56057751,58691706,59777658,63063816,65113506,67621173
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1168901,1169156,1170241,1171171,1171007,1170550,1169639,1171385,1170564,1167594
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3853,4223,4569,4842,5217,5673,6135,6573,7094,7739,8536,9598,10635,11599,12420,13681,14591,15609,16533,17744,19391,20237,20726,21864,22445,23113,23915,24761,26102,27442,28732,30760,31928,32091,33026,34402,35303,36995,38473,40543,40874,42422,43917,45372,46196,47871,50140,51108,53837,55626,57915
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1607425,1821846,2044949,2336549,2604750,2926196,3315850,3755178,4203631,4856142,5503499,6168349,6907088,7398046,8122559,9029617,9924069,10579122,11218103,11892469,12698245,13623991,14584909,15716823,16997222,18399209,19916776,20946191,22090706,23243280,23896131,26007146,27369936,28543837,29843090,31647661,33713134,36342465,38049168,39880937,39534268,40244209,42047859,42805758,42252204,44825832,46556843,48377307,49235343,51490564,53443317
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",498100,504448,523248,536587,558632,574666,588826,606418,626140,639377,658417,675420,686019,666598,681113,696232,710273,728853,747860,760009,772654,784981,802239,823782,846648,872413,897189,913427,926667,937029,945198,956641,966423,984906,1000840,1018994,1040389,1063230,1082623,1097162,1111613,1126646,1136469,1140865,1143943,1142965,1144135,1147987,1152024,1154686,1158464
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3227,3612,3908,4354,4663,5092,5631,6192,6714,7595,8359,9133,10068,11098,11925,12969,13972,14515,15000,15648,16435,17356,18180,19079,20076,21090,22199,22931,23839,24805,25282,27186,28321,28981,29818,31058,32404,34181,35145,36349,35565,35720,36999,37520,36936,39219,40692,42141,42738,44593,46133
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",540715,585596,623630,673545,744156,817493,899700,1000642,1102768,1216193,1346472,1445688,1568456,1639958,1701953,1807676,1924882,2033222,2119347,2243396,2434908,2572845,2698732,2887571,3031459,3164477,3276011,3459736,3633962,3803510,3968575,4139709,4246759,4358721,4514030,4753663,4929143,5116862,5405793,5622375,5669896,5841947,6138842,6253937,6226201,6483937,6785275,6893190,7109914,7424502,7658914
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",174621,174614,176193,178462,177311,177353,177286,176996,178072,178409,179185,178733,177808,178407,177606,176126,175678,175336,175566,175572,174450,174813,175552,175828,176668,177005,177002,176633,176239,175900,175324,174601,174065,173336,173150,172984,172501,172686,172850,172965,173057,173039,172976,172482,171676,171010,170095,169088,168576,167898,166973
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3097,3354,3539,3774,4197,4609,5075,5653,6193,6817,7514,8089,8821,9192,9583,10264,10957,11596,12072,12778,13958,14718,15373,16423,17159,17878,18508,19587,20620,21623,22636,23710,24398,25146,26070,27480,28575,29631,31274,32506,32763,33761,35490,36258,36267,37916,39891,40767,42176,44220,45869
 "89108","Amarillo-Pampa-Borger, TX (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",755023,807628,877216,932080,1073906,1171715,1458753,1580355,1733530,1956608,2213904,2439816,2842955,3160857,3416713,3630075,3785470,3768927,3799579,3916712,4067313,4234593,4340205,4625098,4900590,5122745,5402478,5620003,5988317,6240290,6334685,6620458,7195705,7380967,7642193,7755789,8311053,8967647,9640364,10677161,10262495,11092821,11854089,12289276,12476562,13151459,13240895,13160499,13606901,14132161,14667832
