GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",134265,146833,163836,185275,226164,230361,258050,251851,279005,319401,357612,370195,419602,439625,467728,526191,532633,554807,581591,594425,646883,698346,727700,781182,830561,860571,897536,975218,989807,1049830,1066572,1132326,1183563,1179865,1247779,1371880,1453815,1508199,1656772,1759422,1633807,1674269,1946882,2015569,2146472,2181420,2208328,2190669,2180858,2369036,2359126
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",42064,42598,43316,43722,43615,44015,43419,42996,42909,42929,41731,42146,42148,41960,41497,41464,41406,41319,41221,40970,40448,39873,39906,40098,40308,40427,40567,40667,40454,40202,40072,39825,39602,39417,39419,39440,39569,39604,39847,39915,40219,40718,40966,41580,42159,42224,42396,42839,43205,43011,42668
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3192,3447,3782,4238,5185,5234,5943,5858,6502,7440,8569,8784,9955,10477,11271,12690,12864,13427,14109,14509,15993,17514,18235,19482,20605,21287,22125,23981,24467,26114,26616,28433,29886,29933,31654,34784,36741,38082,41578,44079,40623,41119,47524,48474,50914,51663,52088,51137,50477,55080,55290
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",210283,224268,242387,267359,301284,333252,352422,411806,463020,517932,608753,673230,751961,795274,800392,796018,816980,836087,856542,910828,980160,1020794,1073894,1148836,1191491,1198104,1263028,1301637,1355405,1418129,1441861,1518856,1581345,1638149,1728218,1805378,1876278,1972419,2072058,2197407,2175772,2227591,2274849,2323384,2319333,2482118,2550212,2655866,2811039,2993793,3147173
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",58259,59514,59487,60041,60069,61271,61666,61872,63385,64641,65804,66437,66799,65659,64815,64246,62983,62331,62341,62907,63330,64397,64649,65417,65991,66644,67273,67764,68022,67466,67265,67075,67896,68264,69065,69775,70423,71256,71827,72027,72468,72848,72366,71773,71046,70780,71011,71531,72490,73801,75061
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3609,3768,4075,4453,5016,5439,5715,6656,7305,8012,9251,10133,11257,12112,12349,12390,12971,13414,13740,14479,15477,15852,16611,17562,18055,17978,18775,19208,19926,21020,21436,22644,23291,23997,25023,25874,26643,27681,28848,30508,30024,30579,31435,32371,32646,35068,35913,37129,38778,40566,41928
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",72691,80900,88530,101309,114427,127645,145553,161560,179390,206641,235920,272723,316252,344659,366935,390124,403681,401968,408512,423337,451341,470329,484985,503349,535276,545805,569029,598022,646198,651677,675116,717792,783376,814884,857260,907089,964389,1067488,1125929,1229505,1217484,1279001,1343801,1367353,1376071,1454994,1483291,1500155,1562240,1633427,1711743
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",27021,28022,28826,29549,29781,30396,30334,31007,31495,31479,32281,32720,33146,33891,34836,35002,35207,34972,35030,34353,34175,34112,34080,34022,34094,34382,34818,35233,34965,35017,34993,35148,34866,34929,35048,35097,35267,35525,36157,36687,37283,37595,37749,38060,38159,38286,38336,38512,38371,38272,38284
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2690,2887,3071,3429,3842,4199,4798,5210,5696,6564,7308,8335,9541,10170,10533,11146,11466,11494,11662,12323,13207,13788,14231,14795,15700,15875,16343,16973,18481,18610,19293,20422,22468,23330,24460,25845,27345,30049,31140,33513,32655,34021,35598,35926,36062,38003,38692,38953,40714,42679,44712
 "10300","Adrian, MI (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",301136,318572,332577,384602,441578,463213,513428,571596,643456,709813,796821,846066,910883,935660,992877,1094453,1168706,1220315,1321498,1413124,1507392,1573246,1588181,1689221,1797277,1966310,2022869,2089485,2213229,2341924,2469702,2608506,2657209,2697252,2790408,2852734,2934591,2989038,3015425,3034596,2909386,3017640,3180213,3263611,3233189,3366749,3557951,3612636,3717919,3879387,4029757
