GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "28000","Mississippi",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5540675,6077002,6737073,7677404,8779039,9648091,10462842,11877611,13222207,14721611,16636575,18097527,20331600,21465369,22451566,24527664,25818840,26781306,28323856,30302627,32735804,34442518,36287596,39062668,41597030,45005285,47613260,50525507,53377481,56601880,58501645,61638176,64992885,66139059,68806622,72778583,77596415,80873344,85999513,89844970,88333012,91795431,95795189,99386424,101176750,103310754,105212703,106585081,109189548,112837624,115814213
 "28000","Mississippi",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149
 "28000","Mississippi",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6633,7166,8008,8395,8744,9514,9976,10326,10942,11744,12717,13356,13964,14888,15667,16737,17488,18386,19221,20180,20684,21640,22781,23136,23989,25192,26703,27840,29368,30479,29855,30902,32160,33308,33853,34547,35206,35672,36536,37852,38914
 "28001","Adams, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",100677,103294,115092,125980,141559,160546,174202,194090,217321,243208,276848,311020,351604,367256,388046,411595,412046,401302,407014,411302,442651,468336,478868,520231,549254,576262,603603,641571,662295,694328,714760,738684,749242,777244,753441,762788,811778,889478,907429,974053,906533,941112,998074,1033906,1056104,1078846,1027954,1008988,1013501,1061410,1091522
 "28001","Adams, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37491,37395,38068,37851,37394,37668,38395,37985,37859,37874,37714,38209,38696,39172,38841,39006,38826,37694,36542,35794,35768,35294,35390,34899,35013,35151,34976,35105,35242,34969,34591,34246,33945,33730,33482,32785,32674,33220,32889,32629,32305,32574,32435,32191,32111,32072,31561,31569,31462,31044,30693
 "28001","Adams, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2685,2762,3023,3328,3786,4262,4537,5110,5740,6422,7341,8140,9086,9375,9991,10552,10613,10646,11138,11491,12376,13270,13531,14907,15687,16394,17258,18276,18793,19856,20663,21570,22072,23043,22503,23266,24845,26775,27591,29852,28062,28892,30772,32118,32889,33638,32570,31961,32213,34191,35563
 "28003","Alcorn, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",67072,74168,82402,94605,108135,117716,127735,146084,167414,193275,223864,241527,269593,277061,286707,307266,322324,344546,355029,376136,398289,424001,446397,490945,516357,542569,564586,580440,614036,639062,654751,693771,727265,732741,747805,799009,829925,862464,898396,953756,965643,1017122,1076561,1125329,1148669,1172561,1210649,1227398,1274126,1330580,1352198
 "28003","Alcorn, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",27126,27254,27927,28256,28814,29167,29541,29655,30643,31705,32420,33041,32999,32661,32628,32780,32405,32560,32155,32046,31723,31791,32369,32938,33115,33258,33456,33454,33808,33913,34320,34600,34746,34946,35045,35448,35688,36183,36608,36793,36868,37107,37282,37209,37281,37254,37276,37246,37165,36810,36953
 "28003","Alcorn, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2473,2721,2951,3348,3753,4036,4324,4926,5463,6096,6905,7310,8170,8483,8787,9374,9947,10582,11041,11737,12555,13337,13791,14905,15593,16314,16875,17350,18162,18844,19078,20051,20931,20968,21338,22540,23255,23836,24541,25922,26192,27411,28876,30243,30811,31475,32478,32954,34283,36147,36592
 "28005","Amite, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",25754,27492,30134,33947,40622,42796,42836,49416,52017,58748,68820,72764,81456,85461,91180,97149,100684,101510,102258,110031,119221,126961,136262,145716,155098,165670,178830,193069,203797,222298,227140,243506,256990,256263,261870,279388,294315,304458,317665,338896,329272,335161,342803,349475,366111,381454,385179,386111,413560,427934,432248
 "28005","Amite, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13945,13656,13317,13371,13164,13032,13103,13243,13319,13099,13192,13358,13295,13385,13472,13621,13562,13777,13562,13441,13464,13262,13292,13299,13254,13108,13421,13352,13453,13605,13614,13546,13471,13401,13415,13337,13396,13586,13400,13324,13171,13138,13142,12939,12856,12605,12553,12433,12448,12327,12297
 "28005","Amite, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1847,2013,2263,2539,3086,3284,3269,3731,3905,4485,5217,5447,6127,6385,6768,7132,7424,7368,7540,8186,8855,9573,10251,10957,11702,12639,13325,14460,15149,16339,16684,17976,19077,19123,19521,20948,21970,22410,23706,25435,25000,25511,26085,27009,28478,30262,30684,31055,33223,34715,35151
 "28007","Attala, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",38383,43396,47459,55157,59986,62732,70296,81076,94048,98818,108192,116102,126991,131254,135596,148619,155288,162794,171140,181012,199606,210989,226048,238213,249924,269501,282784,301892,313003,331058,338988,352885,371332,438012,420561,417741,430727,464586,491983,529161,534179,548930,588868,582720,592743,587688,594341,599524,604887,606127,628511
 "28007","Attala, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19823,19236,18150,19676,19855,19386,19352,19447,20013,19967,19816,19801,19512,19298,18866,18969,19084,19105,19021,18733,18722,18495,18725,18725,18878,18888,19093,19314,19420,19409,19593,19620,19595,19549,19469,19330,19265,19431,19511,19622,19611,19485,19385,19145,19110,18820,18665,18551,18467,18328,18174
 "28007","Attala, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1936,2256,2615,2803,3021,3236,3632,4169,4699,4949,5460,5863,6508,6801,7187,7835,8137,8521,8997,9663,10662,11408,12072,12722,13239,14268,14811,15631,16118,17057,17301,17986,18950,22406,21602,21611,22358,23910,25216,26968,27239,28172,30378,30437,31017,31227,31843,32318,32755,33071,34583
 "28009","Benton, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14678,15948,18615,21243,24891,26131,27235,32301,32896,37687,44126,46715,52944,54105,56038,63482,64464,65310,69839,72229,78018,77496,81957,88734,92877,98694,103329,109253,115370,118935,120729,126437,140123,142504,152755,161491,167607,176652,182324,196005,192387,196631,209093,216749,219237,221494,228635,231196,241877,250853,259425
 "28009","Benton, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7554,7496,7540,7560,7526,7532,7624,7662,7777,8043,8187,8159,8171,8118,8119,8250,8292,8211,8271,8320,8131,8028,7978,8056,7919,8007,7987,8054,8083,8129,8066,8034,8006,8004,8073,8146,8307,8479,8603,8769,8689,8694,8715,8644,8493,8295,8155,8247,8255,8243,8259
 "28009","Benton, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1943,2128,2469,2810,3307,3469,3572,4216,4230,4686,5390,5726,6480,6665,6902,7695,7774,7954,8444,8681,9595,9653,10273,11015,11728,12326,12937,13565,14273,14631,14968,15738,17502,17804,18922,19825,20177,20834,21193,22352,22141,22617,23992,25075,25814,26702,28036,28034,29301,30432,31411
 "28011","Bolivar, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",89938,107469,116389,131243,150903,159053,175817,196417,221381,231036,259422,259722,286251,309688,314276,349773,377894,358327,390352,434897,446914,472513,529177,562550,566033,612411,633868,661035,688809,708262,702176,715853,819659,766596,819320,858156,868518,911051,980697,970323,976781,1014035,1066736,1107207,1150865,1126671,1138639,1168982,1189833,1215374,1199960
 "28011","Bolivar, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",50112,49454,49872,50344,49298,48920,48264,47509,47029,46666,46127,45896,45538,45212,45041,45095,43927,43387,42164,42314,42113,41874,41754,41980,41875,41963,42044,41565,41359,41069,40854,40381,39723,38634,38027,37211,36305,36102,35628,35032,34450,34106,33807,33997,33979,33818,33230,32549,31718,31115,30628
 "28011","Bolivar, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1795,2173,2334,2607,3061,3251,3643,4134,4707,4951,5624,5659,6286,6850,6978,7756,8603,8259,9258,10278,10612,11284,12674,13400,13517,14594,15076,15904,16654,17246,17187,17727,20634,19843,21546,23062,23923,25235,27526,27698,28354,29732,31554,32568,33870,33316,34265,35915,37513,39061,39179
 "28013","Calhoun, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29814,33702,38393,42866,49450,53554,52334,66470,71160,77046,88699,92274,104719,110783,112485,127089,130072,132338,145389,157419,166224,172463,178110,199266,210481,228684,234145,259825,272762,278142,290523,286782,304469,300269,313115,325153,336568,332424,350442,353477,348812,387393,412703,402488,420815,403155,423341,433078,447063,462741,480376
 "28013","Calhoun, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",14806,14723,15339,15055,15377,15439,15501,15511,15456,15505,15549,15624,15440,15452,15172,15162,15310,14679,15091,15259,14989,14930,14841,14936,14938,15058,15056,15056,15198,15114,15119,15044,14991,14906,14887,14857,14803,14947,14967,14912,14940,14968,14905,14829,14708,14699,14639,14553,14508,14432,14361
 "28013","Calhoun, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2014,2289,2503,2847,3216,3469,3376,4285,4604,4969,5704,5906,6782,7169,7414,8382,8496,9015,9634,10316,11090,11551,12001,13341,14090,15187,15552,17257,17947,18403,19216,19063,20310,20144,21033,21886,22736,22240,23414,23704,23348,25881,27689,27142,28611,27427,28919,29759,30815,32064,33450
 "28015","Carroll, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",18860,19887,22193,25685,29521,30016,31006,36103,37537,40938,48436,46978,55931,59993,60296,69348,70971,70733,79751,86679,96659,103917,111989,121419,134034,148028,160569,176172,185985,195739,201162,202880,222154,215406,217614,229327,238958,251508,268578,274246,276815,296076,321779,327158,350316,328090,346572,359990,372334,377168,382928
 "28015","Carroll, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9595,9387,9589,9533,9742,9589,9681,9649,9864,9868,9983,9740,9583,9395,9300,9307,9328,9388,9460,9289,9264,9256,9400,9455,9754,10069,10286,10422,10578,10597,10682,10764,10699,10567,10565,10544,10473,10534,10630,10694,10604,10602,10435,10400,10323,10235,10203,10186,10094,9920,9947
 "28015","Carroll, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1966,2119,2314,2694,3030,3130,3203,3742,3805,4149,4852,4823,5836,6386,6483,7451,7608,7534,8430,9331,10434,11227,11914,12842,13741,14701,15610,16904,17582,18471,18832,18848,20764,20385,20598,21750,22817,23876,25266,25645,26105,27926,30837,31457,33935,32056,33968,35342,36887,38021,38497
 "28017","Chickasaw, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",38821,42395,48140,55526,63082,64631,65824,79588,88833,94728,108560,110827,124685,132823,142982,157076,166848,168821,185155,203888,214513,223156,236505,255082,264514,278924,288524,307000,320097,328134,341828,357501,386369,386870,399439,408268,425363,436543,427870,449984,439691,477079,508100,519688,531509,551641,548501,560365,606038,610606,632708
 "28017","Chickasaw, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16889,16746,16685,17449,17452,17446,17453,17518,17746,17910,17939,17790,17518,17671,17858,17793,17679,17893,18042,18067,18022,18157,18265,18332,18628,18749,19015,19172,19311,19255,19454,19372,19266,18976,18811,18642,18369,18074,17884,17639,17439,17440,17500,17502,17384,17404,17395,17224,17144,17100,17103
 "28017","Chickasaw, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2299,2532,2885,3182,3615,3705,3772,4543,5006,5289,6052,6230,7118,7516,8007,8828,9438,9435,10262,11285,11903,12290,12949,13915,14200,14877,15173,16013,16576,17041,17571,18455,20054,20387,21234,21900,23157,24153,23925,25511,25213,27355,29034,29693,30575,31696,31532,32534,35350,35708,36994
 "28019","Choctaw, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16959,18393,21051,23631,27023,29323,30950,34405,37521,42679,48475,50765,57562,58953,63357,71199,72442,74620,76702,81441,90661,95485,96941,104109,103183,109847,114122,118658,124142,129441,136005,144218,150893,152707,163536,176061,183213,182188,188833,200635,199563,208041,218941,228713,240306,240425,252913,260635,263208,273710,287344
 "28019","Choctaw, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8477,8363,8135,8338,8541,8410,8798,8996,9002,9120,9108,8955,8777,8770,8717,8915,9020,8975,9003,9010,8967,9096,9114,9142,9164,9079,9282,9499,9531,9683,9701,9742,9545,9468,9358,9132,9026,8894,8680,8703,8576,8572,8450,8428,8461,8388,8372,8299,8240,8265,8210
 "28019","Choctaw, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2001,2199,2588,2834,3164,3487,3518,3824,4168,4680,5322,5669,6558,6722,7268,7986,8031,8314,8520,9039,10111,10497,10636,11388,11260,12099,12295,12492,13025,13368,14020,14804,15809,16129,17476,19280,20298,20484,21755,23054,23270,24270,25910,27137,28402,28663,30209,31406,31943,33117,34999
 "28021","Claiborne, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",21485,23413,26387,31071,36126,39014,43320,55643,63141,70424,82030,79667,88758,98650,99005,97274,105051,105051,106297,107236,111279,114556,118538,128755,137141,149528,161054,166460,170006,180231,187637,189166,200169,204571,208422,214019,223707,226987,239326,253016,261506,266186,269866,266561,265089,258461,264929,262792,269960,276969,283128
 "28021","Claiborne, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",10195,9979,9830,10805,10725,11420,11567,12404,12589,12599,12297,12290,12313,12398,12287,12083,11949,11943,12117,11458,11482,11384,11705,11206,11276,11571,11810,11874,11870,11788,11779,11792,11519,11277,10889,10772,10646,10358,9962,9940,9822,9581,9780,9353,9143,9167,9209,9152,9026,9072,8988
 "28021","Claiborne, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2107,2346,2684,2876,3368,3416,3745,4486,5016,5590,6671,6482,7208,7957,8058,8050,8792,8796,8773,9359,9692,10063,10127,11490,12162,12923,13637,14019,14322,15289,15930,16042,17377,18141,19141,19868,21013,21914,24024,25454,26625,27783,27594,28500,28994,28195,28768,28714,29909,30530,31501
 "28023","Clarke, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30187,33387,37520,42239,47130,53558,59425,68629,78028,90107,100812,112297,123649,129126,140244,150939,157477,162460,171068,180258,198919,205904,216681,223974,231967,241358,261361,274122,289183,302059,308982,318954,333957,340727,336067,363285,401636,434092,462356,485209,470445,493848,509119,546491,575158,583151,560834,556827,563734,580842,601987
 "28023","Clarke, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",15193,15142,15683,15642,15662,15545,15768,16136,16379,16668,16829,16917,16774,17063,17116,17146,17127,17139,17077,17005,17229,17293,17264,17281,17274,17358,17553,17612,17746,17880,17990,17749,17556,17402,17235,17133,16905,16976,16857,16772,16671,16727,16695,16529,16417,16276,16022,15896,15805,15585,15541
