GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "42000","Pennsylvania",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108706050,119088365,131482121,140474119,147180811,158975274,168415810,177108098,187611091,203157551,220029706,232898680,242566278,256051946,265789353,275144867,287676365,302375613,317520134,334639484,348920120,373357070,388047055,395409363,408889660,432741604,451950374,475815289,505303602,523556674,511617927,534469857,563434875,587521891,592972739,619387125,644445802,662352876,681658520,717255286,742924296
 "42000","Pennsylvania",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989
 "42000","Pennsylvania",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27327,28451,30393,31551,32066,33043,34868,36301,38032,40219,41512,40390,42047,44205,46018,46412,48434,50407,51818,53306,56032,58032
 "42001","Adams, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",205176,220477,237257,267285,301015,335085,363640,414886,458548,511846,574470,643770,710744,767808,804716,886368,950348,1026278,1097423,1201940,1307944,1397840,1449162,1541070,1590800,1630088,1728939,1837041,1967209,2078233,2220730,2402519,2602982,2708449,2885249,3019836,3184784,3332955,3532747,3709887,3692048,3788328,3939953,4051220,4131688,4360360,4549269,4621403,4798471,4986055,5169186
 "42001","Adams, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",56433,57165,58628,60815,62627,63523,63834,64435,65398,66235,67409,68513,69506,70422,70679,70290,71043,72492,73976,75326,76609,78797,80531,81771,83013,84186,85063,86252,87751,89074,90363,91457,92591,93934,95503,97300,98606,99899,100502,101056,101252,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009
 "42001","Adams, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3636,3857,4047,4395,4806,5275,5697,6439,7012,7728,8522,9396,10226,10903,11386,12610,13377,14157,14835,15957,17073,17740,17995,18846,19163,19363,20325,21299,22418,23332,24576,26269,28113,28834,30211,31036,32298,33363,35151,36711,36464,37331,38827,40010,40852,43022,44685,45347,46786,48379,50182
 "42003","Allegheny, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6630031,7122248,7466431,8005338,8633514,9517369,10451178,11301507,12367312,13496797,14754891,16171899,17861241,18979800,19501304,20814793,21776314,22441122,23367664,25420998,27243459,29193643,30206906,31652188,32571824,33420083,34758452,36170780,38099489,39439698,41483775,43998295,44701775,45145877,45894191,47011498,48264620,51154509,53453873,55843880,54454604,56537153,59301796,61477665,62209209,64867964,67594849,68331413,72070682,77567629,79996554
 "42003","Allegheny, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",1606592,1602690,1593414,1573451,1548863,1525950,1513436,1499354,1486316,1473802,1454339,1448253,1437549,1429717,1420639,1404696,1380315,1366108,1355061,1346483,1339463,1336740,1338435,1340919,1338289,1331772,1322460,1313445,1304196,1295026,1287247,1279651,1272416,1265577,1258420,1247531,1234787,1226025,1222482,1221071,1222171,1223957,1228297,1230911,1233700,1233027,1228827,1226426,1220141,1217281,1216045
 "42003","Allegheny, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4127,4444,4686,5088,5574,6237,6906,7538,8321,9158,10145,11166,12425,13275,13727,14818,15776,16427,17245,18880,20339,21839,22569,23605,24338,25094,26283,27539,29213,30455,32227,34383,35131,35672,36470,37684,39087,41724,43726,45734,44556,46192,48280,49945,50425,52609,55008,55716,59068,63722,65784
 "42005","Armstrong, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",233170,247373,267687,301643,328454,370298,422743,472764,523280,567528,631530,695528,758832,809909,837920,875316,898334,915068,942266,987530,1063606,1131813,1179964,1245253,1282900,1346233,1384743,1456998,1513007,1576390,1646608,1703418,1751257,1810607,1884627,1912522,2028445,2173388,2249188,2559926,2359241,2459558,2682979,2650040,2648710,2745512,2660770,2665179,2803672,2951807,3037717
